               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.039851,            0.034328,            0.015824,             0.69735,             0.63669,             0.68187,             0.41197,            0.036416,            0.019875,           0.0096451,            0.005413,            0.005413,            0.005413
                 141,            0.039673,            0.034241,            0.015384,               0.695,             0.63888,              0.6823,             0.41217,              0.0364,            0.019867,           0.0096325,             0.00538,             0.00538,             0.00538
                 142,            0.039831,            0.034164,            0.015275,             0.69581,             0.63781,             0.68321,             0.41276,            0.036383,             0.01986,           0.0096185,            0.005347,            0.005347,            0.005347
                 143,            0.039704,            0.033936,            0.015833,             0.69756,               0.638,             0.68371,             0.41306,            0.036363,            0.019852,           0.0096025,            0.005314,            0.005314,            0.005314
                 144,            0.039646,            0.034202,             0.01547,             0.69734,             0.63818,              0.6844,              0.4135,            0.036347,            0.019847,           0.0095894,            0.005281,            0.005281,            0.005281
                 145,            0.039914,            0.034293,            0.015338,             0.69702,             0.63789,             0.68431,             0.41356,            0.036333,             0.01984,           0.0095777,            0.005248,            0.005248,            0.005248
                 146,            0.039788,            0.034566,              0.0154,              0.6998,             0.63647,             0.68472,              0.4143,            0.036314,            0.019834,           0.0095617,            0.005215,            0.005215,            0.005215
                 147,            0.039553,            0.034131,            0.015226,             0.69998,             0.63745,             0.68515,             0.41483,            0.036296,            0.019826,           0.0095474,            0.005182,            0.005182,            0.005182
                 148,            0.039682,            0.034347,            0.015302,             0.70113,             0.63643,             0.68529,             0.41526,            0.036276,            0.019819,           0.0095286,            0.005149,            0.005149,            0.005149
                 149,            0.039486,            0.033951,            0.015241,             0.69935,             0.63866,             0.68532,             0.41544,            0.036257,            0.019812,           0.0095147,            0.005116,            0.005116,            0.005116
                 150,            0.039861,            0.034225,            0.015088,             0.70189,             0.63728,             0.68621,             0.41605,            0.036237,            0.019804,           0.0094941,            0.005083,            0.005083,            0.005083
                 151,            0.039432,            0.034109,            0.015072,             0.70225,             0.63733,             0.68717,             0.41661,            0.036217,            0.019797,           0.0094769,             0.00505,             0.00505,             0.00505
                 152,            0.039481,            0.033852,            0.015335,             0.70328,             0.63802,             0.68786,             0.41738,              0.0362,            0.019789,           0.0094648,            0.005017,            0.005017,            0.005017
                 153,            0.039573,            0.034164,            0.015148,             0.70226,             0.63833,             0.68863,             0.41788,            0.036186,            0.019784,           0.0094513,            0.004984,            0.004984,            0.004984
                 154,            0.039629,            0.033936,            0.014882,             0.70323,             0.63849,             0.68906,             0.41846,            0.036176,            0.019778,            0.009447,            0.004951,            0.004951,            0.004951
                 155,            0.039533,            0.034362,            0.014838,             0.70171,              0.6422,             0.68953,             0.41894,            0.036159,            0.019771,           0.0094409,            0.004918,            0.004918,            0.004918
                 156,             0.03943,            0.034169,            0.014891,             0.70088,             0.64215,             0.68994,             0.41907,            0.036143,            0.019764,           0.0094331,            0.004885,            0.004885,            0.004885
                 157,            0.039292,            0.033907,            0.014904,             0.70152,             0.64175,             0.69051,             0.41967,             0.03613,            0.019757,           0.0094268,            0.004852,            0.004852,            0.004852
                 158,            0.039311,            0.033814,            0.014984,             0.70182,             0.64177,             0.69089,             0.42009,            0.036114,            0.019749,           0.0094113,            0.004819,            0.004819,            0.004819
                 159,            0.039194,             0.03397,            0.014782,             0.70333,             0.64222,             0.69118,             0.42041,            0.036099,            0.019741,           0.0094035,            0.004786,            0.004786,            0.004786
                 160,            0.039204,            0.034287,            0.014697,             0.70266,             0.64163,             0.69145,             0.42133,            0.036085,            0.019734,           0.0093929,            0.004753,            0.004753,            0.004753
